Date,Customer Name,Waybill No.,Destination,No. of Stops,Additional km Travelled,Fuel Cost Per Litre*,Base Fee,Additional Fee*,Total Fee
2026-02-02,Mac Bennet Company (Returning),6524,Kumasi,1,0,0,3750.00,0,3750.00
2026-02-03,K Ofori Ltd,6536,Accra,1,0,0,3750.00,0,3750.00
2026-02-04,Zons Top Construction,346,Accra,1,0,0,3750.00,0,3750.00
2026-02-05,De-Simone,354,Accra,1,0,0,3750.00,0,3750.00
2026-02-06,Downtime (Repairs),n/a,n/a,0,0,0,0,0,0
2026-02-09,K Ofori Ltd,6565,Amasaman (130km),1,30,11.6,3750.00,348,4098.00
2026-02-10,CIMCO Cement,6578,Tema,1,0,0,3750.00,0,3750.00
2026-02-10,Venus Project,6578,Tema,1,0,0,0,0,0
2026-02-11,K K Nico,6586,Kumasi almost Obuasi,1,0,0,12500.00,0,12500.00
2026-02-12,K K Nico (Offloading),6586,Kumasi,1,0,0,3750.00,0,3750.00
2026-02-13,K K Nico (Returning),6586,Kumasi,1,0,0,3750.00,0,3750.00
2026-02-16,De Simone,377,Accra,1,0,0,3750.00,0,3750.00
2026-02-17,Vuluxx Construction,388,Accra,1,0,0,3750.00,0,3750.00
2026-02-18,Puneet Cidwaani,6630,Accra,1,0,0,3750.00,0,3750.00
2026-02-19,Puneet Cidwaani (Offloading),6630,Accra,1,0,0,3750.00,0,3750.00
2026-02-20,CIMCO Cement,6636,Tema,1,0,0,3750.00,0,3750.00
2026-02-23,Gold Coast Development,6651,Accra (110km),1,10,11.6,3750.00,116,3866.00
2026-02-24,Sethi Ltd (loading),6657,Kumasi,1,0,0,3750.00,0,3750.00
2026-02-25,Sethi Ltd (Actual Travel),6657,Kumasi,1,0,0,10500.00,0,10500.00
2026-02-26,Sethi Ltd (Offloadingl),6657,Kumasi,1,0,0,3750.00,0,10500.00
2026-02-27,Sethi Ltd (Returning),6657,Kumasi,1,0,0,3750.00,0,10500.00
2026-02-09,Arco Africa Ltd,6566,Accra,1,0,0,3750.00,0,3750.00
2026-02-10,K Ofori Ltd,6570,Amasaman (130km),1,30,11.6,3750.00,348,4098.00
2026-02-10,K Ofori Ltd (Offloading),6570,Amasaman (130km),1,0,0,3750.00,0,3750.00
2026-02-11,K Ofori Ltd,6584,Accra,1,0,0,3750.00,0,3750.00
2026-02-11,De Simone Ltd,367,Accra,1,0,0,3750.00,0,3750.00
2026-02-12,De Simone Ltd (Offloading),367,Accra,1,0,0,3750.00,0,3750.00
2026-02-13,Mac Partners,373,Konongo,1,0,0,8500.00,0,8500.00
2026-02-14,Mac Partners (Offloading),373,Konongo,1,0,0,3750.00,0,3750.00
2026-02-16,"Available, Not Loaded",n/a,n/a,1,0,0,3750.00,0,3750.00
2026-02-17,De Simone Ltd,378,Accra,1,0,0,3750.00,0,3750.00
2026-02-18,De Simone Ltd (Offloading),378,Accra,1,0,0,3750.00,0,3750.00
2026-02-19,Sethi Ltd,618,Kumasi,1,0,0,10500.00,0,10500.00
2026-02-20,Trassaco Estate Dev Co Ltd,395,Accra,1,0,0,3750.00,0,3750.00
2026-02-23,De Simone Ltd,408,Accra,1,0,0,3750.00,0,3750.00
2026-02-24,De Simone Ltd (Offloading),408,Accra,1,0,0,3750.00,0,3750.00
2026-02-25,Equilibrium Partners,419,Accra,1,0,0,3750.00,0,3750.00
2026-02-26,Equilibrium Partners (Not offloaded),419,Accra,1,0,0,3750.00,0,3750.00
2026-02-27,Equilibrium Partners (Not offloaded),419,Accra,1,0,0,3750.00,0,3750.00
